id,Condition,Item,rep.equation,RT.equation,completion,RT.completion,res.equation,cor.equation,nbr.NP1,nbr.comp,attachment,halfsession,amount.cor.equation,age
5,percep_low,24,139,29491,dormait,15740,139,1,sg,sg,1,1,24,18
5,stat_high,19,46,18068,étaient feignants,13299,46,1,pl,pl,1,1,24,18
5,percep_high,18,9,26289,parlaient sur son dos,13511,9,1,pl,pl,1,1,24,18
6,percep_high,28,86,7551,ne s'en est pas aperçu.,38076,64,0,sg,sg,1,0,24,19
6,percep_high,18,9,18663,ne se rase jamais.,10054,9,1,pl,sg,0,0,24,19
6,percep_low,12,93,17952,mémorise mal les prénoms.,21249,93,1,sg,sg,1,0,24,19
6,percep_high,22,- 1,11900,travaillent dans la salle 318.,35179,-1,0,sg,pl,0,0,24,19
6,percep_high,26,63,12794,ont enregistré cette chanson.,23883,63,1,sg,pl,0,0,24,19
6,percep_low,24,139,19641,était en train de m'épier,42781,139,1,sg,sg,1,0,24,19
6,stat_low,25,94,9026,sont pourtant très peu sociables.,45405,94,1,pl,pl,1,0,24,19
6,percep_high,14,36,12072,se sont fait connaïtre à  ce moment-là ,28135,36,1,sg,pl,0,0,24,19
6,percep_low,20,86,9233,donnait ses instructions,27470,86,1,sg,sg,1,0,24,19
6,stat_low,21,83,7531,par la suite a été poursuivi en justice pour détournement d'argent,28218,151,0,pl,sg,0,0,24,19
6,stat_high,23,45,8552,l'ont le plus impressioné lors de ce casting,28173,45,1,sg,pl,0,0,24,19
6,stat_high,7,34,8181,était bègue lorsqu'il était petit,23575,34,1,pl,sg,0,0,24,19
6,percep_low,16,93,10452,lui sont décrits avec beaucoup de compassion pour son métier difficile,65529,93,1,sg,pl,0,0,24,19
6,stat_low,9,99,10374,sont toujours en retard,25253,153,0,sg,pl,0,0,24,19
6,percep_high,6,-22,28304,manigancaient quelquechose de louche,31227,-22,1,pl,pl,1,1,24,19
6,stat_low,1,129,12942,incarne ce personnage au cinéma,31663,129,1,pl,sg,0,1,24,19
6,stat_high,19,46,9481,se sentait dépassé par la situation,30233,46,1,pl,sg,0,1,24,19
6,stat_low,13,127,12673,"étaient assis au premier rang, à  droite",25016,127,1,pl,pl,1,1,24,19
6,percep_low,4,80,5915,était le plus en vogue à  l'époque,63805,80,1,pl,sg,0,1,24,19
6,stat_low,5,136,36417,a eu un cancer l'année dernière,18297,136,1,pl,sg,0,1,24,19
6,stat_high,11,3,13881,sont revenus mutilés,12375,3,1,sg,pl,0,1,24,19
6,percep_high,2,17,9389,s'est cassé la semaine dernière,28670,17,1,pl,sg,0,1,24,19
6,stat_high,15,76,12474,a remporté ce prix en 2018,22728,76,1,pl,sg,0,1,24,19
6,stat_high,3,13,9476,est interviewé par ce journaliste,37886,13,1,pl,sg,0,1,24,19
6,percep_low,8,142,9742,l'avaient invité à  assister au cours de linguistique générale,113483,142,1,sg,pl,0,1,24,19
6,percep_high,27,75,6420,l'ont connue,28378,75,1,sg,pl,0,1,24,19
6,percep_high,10,0,14298,ne portait pourtant que des couleurs sombres,40966,0,1,sg,sg,1,1,24,19
6,stat_low,17,104,5853,étaient dans la rue ce matin,22234,104,1,sg,pl,0,1,24,19
7,percep_high,22,-1,9107,piratait le réseau,31270,-1,1,sg,sg,1,0,23,18
7,percep_high,2,17,13450,parlaient de leurs vacances,44210,17,1,pl,pl,1,0,23,18
7,percep_high,28,86,6172,était tout devant,32317,64,0,sg,sg,1,0,23,18
7,stat_high,15,76,8798,se chamaillaient,21841,76,1,pl,pl,1,0,23,18
7,stat_low,13,127,24604,a un peu bu de l'alcool,52012,127,1,pl,sg,0,0,23,18
7,stat_low,21,151,21668,faisait semblant de travailler,19539,151,1,pl,sg,0,0,23,18
7,stat_low,9,156,30948,traïnent près de l'université le soir,28744,153,0,sg,pl,0,0,23,18
7,stat_high,3,13,8121,est toujours à  l'étranger,41757,13,1,pl,sg,0,0,23,18
7,percep_high,10,0,9465,a fait du bon travail,20140,0,1,sg,sg,1,0,23,18
7,stat_high,7,34,12669,fait rêver toutes les jeunes filles,19944,34,1,pl,sg,0,0,23,18
7,stat_high,23,45,17463,règnent sur Hollywood,21391,45,1,sg,pl,0,0,23,18
7,percep_high,18,19,54285,fait du bruit,16859,9,0,pl,sg,0,0,23,18
7,percep_low,16,93,14654,ne font aucun effort,27818,93,1,sg,pl,0,0,23,18
7,percep_high,27,75,20104,vont souvent faire le tour du monde,21448,75,1,sg,pl,0,0,23,18
7,percep_low,24,43,17114,fleurtait avec son mari,25208,139,0,sg,sg,1,1,23,18
7,percep_low,20,86,10357,n'obéissent pas aux ordres,29521,86,1,sg,pl,0,1,23,18
7,stat_high,11,-10,11038,sont partis à  la Seconde Guerre mondiale,34653,3,0,sg,pl,0,1,23,18
7,percep_high,26,63,10226,font rêver le monde entier,15934,63,1,sg,pl,0,1,23,18
7,percep_low,8,142,19744,s'investissent énormément,15934,142,1,sg,pl,0,1,23,18
7,stat_low,17,104,5218,sont très investis pour le climat,43030,104,1,sg,pl,0,1,23,18
7,stat_low,5,136,27269,est anorexique,16819,136,1,pl,sg,0,1,23,18
7,percep_low,4,80,6708,refuse de parler devant les caméras,16216,80,1,pl,sg,0,1,23,18
7,percep_low,12,93,9033,sont superficielles,13106,93,1,sg,pl,0,1,23,18
7,percep_high,14,36,16858,gagnent des milliards d'euros,23989,36,1,sg,pl,0,1,23,18
7,stat_high,19,46,15675,parlent mal de lui dans son dos,24485,46,1,pl,pl,1,1,23,18
7,stat_low,1,129,7109,a violé des femmes,16584,129,1,pl,sg,0,1,23,18
7,stat_low,25,94,5495,sont malveillants,50799,94,1,pl,pl,1,1,23,18
7,percep_high,6,-22,13323,veut lançer une bombe nucléaire aux Etats-Unis,24991,-22,1,pl,sg,0,1,23,18
8,percep_high,14,36,43985,faisait du violon,16804,36,1,sg,sg,1,0,18,18
8,percep_low,24,43,94220,faisait du jardinage,16838,139,0,sg,sg,1,0,18,18
8,stat_low,9,9,16778,ne vennaient plus en cours.,26015,153,0,sg,pl,0,0,18,18
8,percep_high,6,-33,93588,effrayait le public,18223,-22,0,pl,sg,0,0,18,18
8,percep_low,20,86,11953,arrangeait les cables,24218,86,1,sg,sg,1,0,18,18
8,stat_high,11,3,29743,s'occupait des brà»lures,20442,3,1,sg,sg,1,0,18,18
8,percep_low,12,103,20631,sifflait tout le temps,20761,93,0,sg,sg,1,0,18,18
8,stat_high,19,46,24649,l'exigeait,40930,46,1,pl,sg,0,0,18,18
8,percep_high,10,0,20306,est hautain,22101,0,1,sg,sg,1,0,18,18
8,stat_high,3,13,11568,les paient très mal,34944,13,1,pl,pl,1,0,18,18
8,percep_low,8,160,31242,parle dans un micro,16087,142,0,sg,sg,1,0,18,18
8,percep_high,22,-1,8942,paraissait louche,13515,-1,1,sg,sg,1,0,18,18
8,percep_high,2,17,19050,marche vite,45497,17,1,pl,sg,0,0,18,18
8,percep_high,18,9,37069,rigolent fort,11747,9,1,pl,pl,1,0,18,18
8,stat_low,13,15,56597,lui ont proposé,17126,127,0,pl,pl,1,1,18,18
8,percep_low,16,93,29459,tombait de l'estrade,17619,93,1,sg,sg,1,1,18,18
8,stat_low,1,129,24594,est suspecté de détournement d'argent,21053,129,1,pl,sg,0,1,18,18
8,percep_high,27,75,9646,a parcouru le monde ,13273,75,1,sg,sg,1,1,18,18
8,stat_high,23,45,16328,deviennent de plus en plus connus,17970,45,1,sg,pl,0,1,18,18
8,percep_low,4,80,8266,vient de marcher sur le tapis rouge,16566,80,1,pl,sg,0,1,18,18
8,stat_low,17,104,17923,était âgé ,20357,104,1,sg,sg,1,1,18,18
8,stat_high,15,76,24866,veulent faire du piano,19660,76,1,pl,pl,1,1,18,18
8,stat_low,5,134,22236,est très fine,15638,136,0,pl,sg,0,1,18,18
8,percep_high,26,63,55492,rencontrent un grand succès,27122,63,1,sg,pl,0,1,18,18
8,stat_high,7,34,20996,fait du jazz,10881,34,1,pl,sg,0,1,18,18
8,stat_low,21,121,44522,ont mentit,12044,151,0,pl,pl,1,1,18,18
8,stat_low,25,92,23378,sont encore jeunes,16364,94,0,pl,pl,1,1,18,18
8,percep_high,28,86,10523,a fait le tour de France,15205,64,0,sg,sg,1,1,18,18
9,stat_low,9,162,36779,n'a jamais fait d'études,16195,153,0,sg,sg,1,0,18,22
9,stat_low,21,151,61919,les sous-payait,12880,151,1,pl,sg,0,0,18,22
9,stat_high,11,3,61235,jamais ne reviendraient,24100,3,1,sg,pl,0,0,18,22
9,stat_high,3,13,40638,les engageait,15572,13,1,pl,sg,0,0,18,22
9,percep_high,18,29,24602,les avait espionnées,43802,9,0,pl,sg,0,0,18,22
9,stat_high,23,45,39884,ne savaient pas leur texte,31019,45,1,sg,pl,0,0,18,22
9,percep_low,24,137,52261,connaissait tout le monde,17138,139,0,sg,sg,1,0,18,22
9,stat_low,13,135,24857,ont préparé toute la cérémonie,29328,127,0,pl,pl,1,0,18,22
9,percep_low,4,80,11051,a joué dans le dernier Tarantino,21091,80,1,pl,sg,0,0,18,22
9,percep_high,10,0,56672,n'avait pas démérité,17338,0,1,sg,sg,1,0,18,22
9,stat_low,17,104,8817,se pavanait,22602,104,1,sg,sg,1,0,18,22
9,percep_high,14,36,70401,jouaient pour l'Orchestre de Paris,19306,36,1,sg,pl,0,0,18,22
9,stat_high,7,34,28019,avait fait 5 ans de prison,53156,34,1,pl,sg,0,0,18,22
9,stat_low,1,169,11185,a fait scandale,11811,129,0,pl,sg,0,0,18,22
9,percep_low,20,86,7194,travaillaient au dernier modèle de chez Renaut,22755,86,1,sg,pl,0,1,18,22
9,stat_low,25,96,7461,la vannaient tout le temps,19364,94,0,pl,pl,1,1,18,22
9,percep_high,27,75,19995,ont pourchassé Moby Dick,20860,75,1,sg,pl,0,1,18,22
9,percep_high,6,-32,42181,a sévi au Népal,27130,-22,0,pl,sg,0,1,18,22
9,percep_low,8,142,23820,leur fait cours,15596,142,1,sg,sg,1,1,18,22
9,stat_low,5,136,25780,se lamentait,26755,136,1,pl,sg,0,1,18,22
9,percep_high,28,86,7594,ont concourru aux JO,15051,64,0,sg,pl,0,1,18,22
9,percep_high,22,7,9740,travaillent pour Interpol,24699,-1,0,sg,pl,0,1,18,22
9,percep_high,26,67,13450,ont gagné la faveur populaire,26483,63,0,sg,pl,0,1,18,22
9,percep_low,16,93,21988,les molestait,7075,93,1,sg,sg,1,1,18,22
9,stat_high,15,76,16595,et parti en tournée,16212,76,1,pl,sg,0,1,18,22
9,percep_high,2,17,16499,a battu le record du monde,27964,17,1,pl,sg,0,1,18,22
9,stat_high,19,46,16628,l'a viré,14538,46,1,pl,sg,0,1,18,22
9,percep_low,12,93,23036,s'entraïnaient tous les jeudis,46132,93,1,sg,pl,0,1,18,22
10,stat_high,7,9,51486,joue de la guitare,34145,34,0,pl,sg,0,0,1,19
10,stat_low,5,20,34494,défile,19173,136,0,pl,sg,0,0,1,19
10,stat_high,15,89.5,23123,sont au collège,37633,76,0,pl,pl,1,0,1,19
10,stat_high,3,94,8942,arrosait ses plantes,15476,13,0,pl,sg,0,0,1,19
10,percep_high,14,33,41023,jouaient sur scène,26044,36,0,sg,pl,0,0,1,19
10,percep_low,4,21,18465,préparaient sa tenue,26130,80,0,pl,pl,1,0,1,19
10,stat_high,11,77.5,20000,les soignait,17065,3,0,sg,sg,1,0,1,19
10,percep_high,18,91.3,40773,jouaient dans le jardin,16396,9,0,pl,pl,1,0,1,19
10,percep_high,22,85,32241,piratait les données,19659,-1,0,sg,sg,1,0,1,19
10,stat_low,17,22,14838,était en colère,11498,104,0,sg,sg,1,0,1,19
10,percep_low,24,92,20735,fumait,7337,139,0,sg,sg,1,0,1,19
10,stat_low,25,15,16078,dormait,8238,94,0,pl,sg,0,0,1,19
10,percep_high,10,81,9175,entrait dans le bureau,17549,0,0,sg,sg,1,0,1,19
10,percep_high,28,86,26830,participait au tour de France,24846,64,0,sg,sg,1,0,1,19
10,stat_low,13,72.5,18953,habitait proche du lieu de récéption,28306,127,0,pl,sg,0,1,1,19
10,percep_high,6,12,10309,proféraient des injures,18891,-22,0,pl,pl,1,1,1,19
10,stat_low,1,92,11223,était jugé,14677,129,0,pl,sg,0,1,1,19
10,percep_low,12,83.5,15039,préparait la chorégraphie,17215,93,0,sg,sg,1,1,1,19
10,stat_low,21,88,37921,ont été élus,19344,151,0,pl,pl,1,1,1,19
10,percep_low,16,82,15345,était en colère,9148,93,0,sg,sg,1,1,1,19
10,stat_low,9,82,6564,etait venu se présenter,23946,153,0,sg,sg,1,1,1,19
10,percep_high,2,97,12415,se prépare pour la course,10967,17,0,pl,sg,0,1,1,19
10,percep_low,20,78.5,11028,installent le matériel,9677,86,0,sg,pl,0,1,1,19
10,percep_low,8,80,8700,faisait son cours,10686,142,0,sg,sg,1,1,1,19
10,stat_high,19,87,8406,avaient besoin d'aide,14060,46,0,pl,pl,1,1,1,19
10,percep_high,27,75,9268,navigue sur l'océan,19365,75,1,sg,sg,1,1,1,19
10,stat_high,23,85,7806,s'est révélé très éfficace,17802,45,0,sg,sg,1,1,1,19
10,percep_high,26,82.5,19466,est gentil,22192,63,0,sg,sg,1,1,1,19
11,percep_low,8,79,61779,racontait son expérience,25643,142,0,sg,sg,1,0,1,66
11,percep_high,2,801,37684,avait gagné,11172,17,0,pl,sg,0,0,1,66
11,stat_low,25,352,27355,le charriaient,38329,94,0,pl,sg,0,0,1,66
11,stat_low,17,480,17067,donnait le ton,20154,104,0,sg,sg,1,0,1,66
11,percep_low,12,693,32744,était le plus dynamique,17378,93,0,sg,sg,1,0,1,66
11,percep_low,20,390,29627,donnait des ordres,14035,86,0,sg,sg,1,0,1,66
11,percep_high,27,75,20140,lui parlait de la mer,19521,75,1,sg,sg,1,0,1,66
11,stat_high,23,312,31323,lui semblait compétent,15027,45,0,sg,sg,1,0,1,66
11,percep_high,26,152,20162,négocait les contrats,28980,63,0,sg,sg,1,0,1,66
11,stat_high,19,316,32411,étaient les plus performants,24362,46,0,pl,pl,1,0,1,66
11,percep_high,10,504,25962,avait le plus d'entregant,34493,0,0,sg,sg,1,0,1,66
11,percep_high,6,664,24026,hurlaient,10264,-22,0,pl,pl,1,0,1,66
11,percep_high,14,210,15571,parlait fort et gesticulait,31908,36,0,sg,sg,1,0,1,66
11,percep_low,16,336,16500,donnait ses cours,27585,93,0,sg,sg,1,0,1,66
11,stat_low,21,760,32035,établissaient les comptes,34099,151,0,pl,pl,1,1,1,66
11,percep_high,28,486,14411,souriait en recevant sa médaille,29739,64,0,sg,sg,1,1,1,66
11,stat_low,13,553,35052,l'avait invité,46107,127,0,pl,sg,0,1,1,66
11,percep_high,22,608,31069,faisait mal son boulot,34469,-1,0,sg,sg,1,1,1,66
11,stat_low,1,485,27739,avait commis une faute,20789,129,0,pl,sg,0,1,1,66
11,stat_high,7,545,36179,hypnotisait la foule,32044,34,0,pl,sg,0,1,1,66
11,stat_low,5,500,21659,souffrait d'anorexie,26196,136,0,pl,sg,0,1,1,66
11,stat_high,11,408,39654,sauvait des vies,12756,3,0,sg,sg,1,1,1,66
11,stat_high,3,765,41780,demandait beaucoup de variétés et de couleurs pour ses jardins,56388,13,0,pl,sg,0,1,1,66
11,stat_low,9,720,22316,étaient les moins brillants,36227,153,0,sg,pl,0,1,1,66
11,percep_low,24,594,31841,volait une pomme,16372,139,0,sg,sg,1,1,1,66
11,percep_high,18,474,27396,dansaient dans leur chambre,19435,9,0,pl,pl,1,1,1,66
11,percep_low,4,264,27530,était au défilé de mode à  Paris,36157,80,0,pl,sg,0,1,1,66
11,stat_high,15,170,21676,était au concert à  l'opéra,23075,76,0,pl,sg,0,1,1,66
12,percep_high,6,-22,37528,harengait la foule,15173,-22,1,pl,sg,0,0,27,34
12,stat_high,15,76,9526,étaient bruyants,14237,76,1,pl,pl,1,0,27,34
12,stat_low,17,104,7480,était communiste,12281,104,1,sg,sg,1,0,27,34
12,percep_low,24,139,29240,recevait un pot-de-vin,13570,139,1,sg,sg,1,0,27,34
12,stat_high,11,3,20505,avait reçu une médaille,25123,3,1,sg,sg,1,0,27,34
12,percep_high,22,-1,14914,était soupçonné d'espionnage,12885,-1,1,sg,sg,1,0,27,34
12,percep_low,20,86,9985,contrôlait le travail de ses subalternes,27340,86,1,sg,sg,1,0,27,34
12,stat_low,1,129,15987,défendaient sa cause,20043,129,1,pl,pl,1,0,27,34
12,stat_high,23,45,11915,s'était fait licencier de sa précédente agence,23587,45,1,sg,sg,1,0,27,34
12,stat_high,3,13,8171,lui ont donné des informations sur sa vie privée,22612,13,1,pl,pl,1,0,27,34
12,stat_low,5,136,12451,avait eu un cancer,20310,136,1,pl,sg,0,0,27,34
12,stat_high,19,46,8883,devait les emmener aux Etats-Unis,43226,46,1,pl,sg,0,0,27,34
12,stat_high,7,34,8979,étaient saouls,17075,34,1,pl,pl,1,0,27,34
12,percep_high,14,36,16416,savourait le succès de ses protégés,27085,36,1,sg,sg,1,0,27,34
12,percep_high,28,86,10531,grimpait la côte,10016,64,0,sg,sg,1,1,27,34
12,stat_low,25,94,10834,était dans une autre pièce,28898,94,1,pl,sg,0,1,27,34
12,stat_low,13,127,26492,avaient loué un AirBnB à  côté de la salle de réception,25870,127,1,pl,pl,1,1,27,34
12,percep_high,26,63,10500,négociait leurs royalties,16450,63,1,sg,sg,1,1,27,34
12,stat_low,9,153,23243,n'avait pas amené de pique-nique,30237,153,1,sg,sg,1,1,27,34
12,percep_low,12,93,10338,les photographiait à  leur insu,23570,93,1,sg,sg,1,1,27,34
12,percep_high,2,17,8662,racontaient comment il s'était préparé à  la course,27813,17,1,pl,pl,1,1,27,34
12,percep_high,10,0,11954,parlait à  la tribune,17454,0,1,sg,sg,1,1,27,34
12,percep_low,16,93,11802,lisait une histoire,17008,93,1,sg,sg,1,1,27,34
12,percep_high,27,75,7128,avait fait 17 fois le tour du monde,17155,75,1,sg,sg,1,1,27,34
12,percep_low,8,142,20379,faisait une conférence,11251,142,1,sg,sg,1,1,27,34
12,stat_low,21,151,28727,avaient falsifié les comptes,24253,151,1,pl,pl,1,1,27,34
12,percep_high,18,9,17272,jouaient à  l'élastique,11936,9,1,pl,pl,1,1,27,34
12,percep_low,4,80,7005,prenaient des mesures pour la robe qu'elle porterait à  Cannes,23636,80,1,pl,pl,1,1,27,34
13,stat_low,3,175,39916,sont doués,21819,165,0,pl,pl,1,0,17,22
13,percep_low,22,92,32931,était soupçonné de collecter les données illégalement,27443,94,0,sg,sg,1,0,17,22
13,percep_high,27,89,14634,avait une longue expérience de la mer ,26107,75,0,sg,sg,1,0,17,22
13,stat_high,5,22,113367,lui avaient été recommandés.,30795,22,1,pl,pl,1,0,17,22
13,percep_high,8,52,54329,'il avait rencontré lors des portes ouvertes.,47979,-48,0,sg,sg,1,0,17,22
13,stat_low,7,22,35025,l'aclamaient.,36348,152,0,pl,pl,1,0,17,22
13,percep_high,20,50,17034,ne se doutait de rien,23697,50,1,sg,sg,1,0,17,22
13,percep_low,18,56,24403,chantaient,16171,114,0,pl,pl,1,0,17,22
13,percep_low,10,112,25795,n'était pas très aimé dans l'entreprise,41368,112,1,sg,sg,1,0,17,22
13,percep_low,26,94,14724,ne savait pas chanter,19730,94,1,sg,sg,1,0,17,22
13,stat_low,23,98,17812,a négocié son salaire,29115,98,1,sg,sg,1,0,17,22
13,percep_low,14,106,36747,lui en a fait la remarque après,44804,106,1,sg,sg,1,0,17,22
13,stat_low,11,117,29994,l'aimait,29515,117,1,sg,sg,1,0,17,22
13,percep_high,4,71,11563,se prétendaient pour des célébrités,42276,68,0,pl,pl,1,0,17,22
13,percep_low,6,164,23676,lui étaient en réalité dévoués,41652,164,1,pl,pl,1,1,17,22
13,stat_low,15,119,42979,l'aimaient beaucoup,13795,109,0,pl,pl,1,1,17,22
13,stat_high,17,68,15098,criaient dans la rue,30355,68,1,sg,pl,0,1,17,22
13,percep_high,16,42,26297,lui apprendrait à  enseigner,28147,42,1,sg,sg,1,1,17,22
13,stat_high,25,65,18355,en redemandaient,21298,69,0,pl,pl,1,1,17,22
13,stat_high,9,-54,67236,était ravi d'avoir de nouveaux membres dans son église,50413,-54,1,sg,sg,1,1,17,22
13,stat_high,1,29,39948,prétendaient défendre le meilleur intérêt de leurs clients,42364,29,1,pl,pl,1,1,17,22
13,stat_high,21,31,59906,adoraient leurs métiers,17354,-19,0,pl,pl,1,1,17,22
13,percep_low,2,109,13427,ont battu leurs records,25559,109,1,pl,pl,1,1,17,22
13,stat_low,19,99,10771,ne voulaient pas être entraïnés,26700,99,1,pl,pl,1,1,17,22
13,percep_high,24,18,28187,était complètement bourré en bas de chez lui,21361,18,1,sg,sg,1,1,17,22
13,percep_high,28,64,24628,ne voulait pas être regardé durant l'effort,26052,64,1,sg,sg,1,1,17,22
13,percep_high,12,1,13300,s'est fait viré l'année dernière,25739,1,1,sg,sg,1,1,17,22
13,stat_high,13,-6,30587,ont été obligé de l'accepter,25227,-39,0,pl,pl,1,1,17,22
14,stat_high,25,336,53199,s'embetaient copieusement,20091,69,0,pl,pl,1,0,0,60
14,percep_high,16,312,19060,eternuait au milieu du cours de français,28496,42,0,sg,sg,1,0,0,60
14,percep_low,10,574,32052,ira témoigner au tribunal,29310,112,0,sg,sg,1,0,0,60
14,percep_low,14,254,19745,s'occupe de son nouvel  album,38559,106,0,sg,sg,1,0,0,60
14,percep_low,2,837,21081,lui offriront un joli cadeau,26080,109,0,pl,pl,1,0,0,60
14,percep_high,8,648,25086,ont plusieurs revendications,25303,-48,0,sg,pl,0,0,0,60
14,stat_low,15,202,25857,lui fait une cour effrénée,21086,109,0,pl,sg,0,0,0,60
14,percep_high,24,498,48575,se cachait derriere un arbre,23414,18,0,sg,sg,1,0,0,60
14,stat_low,3,909,58354,lui decrivent la fabuleuse maison de leur patron,46644,165,0,pl,pl,1,0,0,60
14,percep_high,12,657,32449,va entrainer les filles,35128,1,0,sg,sg,1,0,0,60
14,stat_high,1,405,19018,est accusé de viol sur Marie,22424,29,0,pl,sg,0,0,0,60
14,percep_low,18,534,65097,leur avait apporté de jolies fleurs,32992,114,0,pl,sg,0,0,0,60
14,stat_low,7,728,36015,l'avait fait monter sur scène,28479,152,0,pl,sg,0,0,0,60
14,percep_low,26,176,16745,se produiront ce soir a l'Olympia,24460,94,0,sg,pl,0,0,0,60
14,percep_high,20,370,29835,se prenait tres au sérieux,24187,50,0,sg,sg,1,1,0,60
14,stat_high,13,441,20272,leur offraient l'hospitalité,41144,-39,0,pl,pl,1,1,0,60
14,percep_low,22,640,11140,avait provoqué une panne,27322,94,0,sg,sg,1,1,0,60
14,stat_high,21,632,28978,etaient des hommes vereux,21578,-19,0,pl,pl,1,1,0,60
14,percep_high,27,89,9516,avaient sauvé sa petite soeur,31836,75,0,sg,pl,0,1,0,60
14,stat_high,17,460,16610,hurlait dans son mégaphone,39242,68,0,sg,sg,1,1,0,60
14,stat_low,23,344,19136,lui avait volé de l'argent,25417,98,0,sg,sg,1,1,0,60
14,stat_low,11,492,31086,ont été gravement blessés,76549,117,0,sg,pl,0,1,0,60
14,percep_low,6,808,19689,hurlait comme un ane,28678,164,0,pl,sg,0,1,0,60
14,percep_high,28,474,23829,faisait le fanfaron sur l'estrade,27409,64,0,sg,sg,1,1,0,60
14,percep_high,4,228,20126,défilait sur le podium,22463,68,0,pl,sg,0,1,0,60
14,stat_high,9,576,32377,"lui, n'avait rien demandé",28919,-54,0,sg,sg,1,1,0,60
14,stat_high,5,410,20986,s'etait evanouie sur le podium,34833,22,0,pl,sg,0,1,0,60
14,stat_low,19,348,26293,voulaient jouer au football,25158,99,0,pl,pl,1,1,0,60
15,percep_high,24,89,56267,téléphonait à  sa vieille amie ,63308,18,0,sg,sg,1,0,0,62
15,stat_high,25,336,50735,sont partis à  regret ,30951,69,0,pl,pl,1,0,0,62
15,stat_high,21,632,55065,se mettaient plein les poches ,34250,-19,0,pl,pl,1,0,0,62
15,stat_high,5,410,41315,devait etre autopsié ,37550,22,0,pl,sg,0,0,0,62
15,percep_high,12,157,105479,avait quelques remontrances à  leur faire ,56853,1,0,sg,sg,1,0,0,62
15,percep_low,18,504,148384,sortaient déguisées en call girls ,37638,114,0,pl,pl,1,0,0,62
15,stat_low,7,798,60346,lui avaient réservé une belle surprise ,36983,152,0,pl,pl,1,0,0,62
15,percep_high,27,89,14837,n avait rien à  envier à  OLivier De Kersauson ,45972,75,0,sg,sg,1,0,0,62
15,stat_low,19,366,47254,cherchaient un bon restaurant loin du bureau ,39519,99,0,pl,pl,1,0,0,62
15,stat_low,15,170,19602,sont nés déjà  bien talentueux ,30489,109,0,pl,pl,1,0,0,62
15,stat_high,13,511,41832,avaient loué un hotel tout près de la salle de mariage ,40054,-39,0,pl,pl,1,0,0,62
15,percep_low,22,608,46261,gardait secrètement le mot de passe de tous les ordinateurs ,52953,94,0,sg,sg,1,0,0,62
15,stat_low,11,744,58990,étaient bien mutilés ,20813,117,0,sg,pl,0,0,0,62
15,percep_low,10,504,51427,ne faisaient jamais grève ,31902,112,0,sg,pl,0,0,0,62
15,percep_high,8,508,40741,décident de ne plus assister au cours ,41077,-48,0,sg,pl,0,1,0,62
15,stat_low,3,909,64356,avaient bien des idées de décor pour son parterre de roses ,50261,165,0,pl,pl,1,1,0,62
15,percep_low,14,254,65530,leur a promis un beau tour de chant ,38184,106,0,sg,sg,1,1,0,62
15,percep_high,16,312,41099,etait porté sur l intégrisme ,56808,42,0,sg,sg,1,1,0,62
